sample_set,weighted_avg_precision,weighted_avg_recall,weighted_avg_f1_score
10-1,0.6007863068237208,0.6041834271922768,0.6023325571357927
10-2,0.6246812546171715,0.5462590506838294,0.5461644875468395
10-3,0.6114513658307467,0.6379726468222043,0.5834365460346426
10-4,0.6437066122901192,0.6588897827835881,0.642462723263031
10-5,0.5785498772057586,0.6041834271922768,0.5810990469797338
100-1,0.6208357709967927,0.5273200346921075,0.5229509642484633
100-2,0.6195761348792594,0.6444058976582827,0.6035424987440254
100-3,0.6344761161873553,0.6418039895923677,0.5490894477463162
100-4,0.6170184732450719,0.627059843885516,0.48734588229507275
100-5,0.6709895730282253,0.6470078057241977,0.5457455831323504
600-1,0.7650414791570759,0.6217457886676876,0.47833304121456843
600-2,0.3942224484004794,0.6278713629402757,0.48434103255976113
600-3,0.3827686563838943,0.6186830015313936,0.4729383777080095
600-4,0.76878080779241,0.6339969372128637,0.4982232098232364
600-5,0.6430584751378413,0.6294027565084227,0.49880442548487214
1000-1,0.36571419644112546,0.6047430830039525,0.45579158472711695
1000-2,0.399943757909044,0.6324110671936759,0.49000373245030576
1000-3,0.5766240409207162,0.525691699604743,0.5260918472147502
1000-4,0.616738871532872,0.6600790513833992,0.5908931209326466
1000-5,0.6183201307682635,0.6363636363636364,0.5329845626072042
